"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"Июнь '20","116,13","114,28","119,53","111,41","9,80M","1,61%"
"Май '20","114,29","118,66","128,74","113,11","302,92M","-4,94%"
"Апр. '20","120,23","95,78","129,15","95,03","410,66M","23,63%"
"Март '20","97,25","101,40","102,55","79,54","648,54M","-1,85%"
"Февр. '20","99,08","108,00","115,00","92,30","147,43M","-9,88%"
"Янв. '20","109,94","108,00","116,38","106,42","130,37M","2,03%"
"Дек. '19","107,75","105,84","111,40","103,81","109,16M","1,94%"
"Нояб. '19","105,70","95,00","106,88","94,44","179,67M","11,23%"
"Окт. '19","95,03","94,99","95,67","89,23","155,27M","0,31%"
"Сент. '19","94,74","95,70","97,77","93,30","129,70M","0,13%"
"Авг. '19","94,62","93,14","96,75","90,66","137,29M","1,57%"
"Июль '19","93,16","90,50","97,23","89,19","182,28M","3,34%"
"Июнь '19","90,15","84,25","90,97","84,04","194,42M","6,37%"
"Май '19","84,75","90,78","93,87","83,23","201,06M","-6,92%"
"Апр. '19","91,05","91,58","93,80","89,88","178,57M","-0,27%"
"Март '19","91,30","91,22","94,92","88,40","155,71M","0,09%"
"Февр. '19","91,22","92,61","94,38","87,26","169,09M","-1,72%"
"Янв. '19","92,82","80,95","95,39","80,77","219,91M","14,59%"
"Дек. '18","81,00","90,09","91,43","79,66","140,30M","-9,52%"
"Нояб. '18","89,52","87,70","94,92","86,90","171,76M","1,84%"
"Окт. '18","87,90","97,77","98,10","82,05","199,29M","-9,57%"
"Сент. '18","97,20","97,90","103,00","94,13","152,68M","-0,86%"
"Авг. '18","98,04","102,99","103,38","95,07","152,82M","-4,82%"
"Июль '18","103,00","109,00","110,50","100,63","144,59M","-5,14%"
