"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"Июнь '20","207,76","203,10","223,08","201,90","66,56M","3,62%"
"Май '20","200,50","195,68","205,00","183,33","1,36B","1,65%"
"Апр. '20","197,25","183,20","205,44","182,00","1,77B","5,36%"
"Март '20","187,21","238,93","241,00","172,15","3,00B","-19,78%"
"Февр. '20","233,36","251,80","259,77","231,00","919,82M","-7,47%"
"Янв. '20","252,20","255,99","270,80","251,40","747,14M","-1,00%"
"Дек. '19","254,75","234,59","256,00","229,03","666,34M","8,88%"
"Нояб. '19","233,98","235,35","243,74","231,97","643,07M","-0,39%"
"Окт. '19","234,89","227,55","242,78","221,87","894,39M","3,15%"
"Сент. '19","227,71","224,10","237,20","222,05","796,86M","1,57%"
"Авг. '19","224,20","232,15","232,46","212,88","1,02B","-3,98%"
"Июль '19","233,49","240,98","245,50","228,52","780,05M","-2,12%"
"Июнь '19","238,55","231,18","250,65","230,35","1,02B","2,28%"
"Май '19","233,24","226,00","237,47","224,15","1,03B","3,58%"
"Апр. '19","225,17","215,05","247,23","215,01","1,57B","5,01%"
"Март '19","214,42","208,48","219,25","202,25","1,07B","3,19%"
"Февр. '19","207,80","218,00","220,70","201,10","1,32B","-4,64%"
"Янв. '19","217,90","186,37","218,10","186,00","1,18B","16,96%"
"Дек. '18","186,30","197,99","201,90","179,04","1,15B","-3,97%"
"Нояб. '18","194,00","189,50","204,70","185,53","1,57B","2,21%"
"Окт. '18","189,80","204,50","205,98","177,02","1,81B","-6,65%"
"Сент. '18","203,32","181,72","205,67","165,90","1,72B","11,71%"
"Авг. '18","182,00","213,50","215,20","172,80","1,77B","-15,29%"
"Июль '18","214,86","217,01","232,25","201,10","1,23B","-1,44%"
