"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"Июнь '20","3.035,2","2.849,6","3.062,0","2.815,0","918,98K","7,13%"
"Май '20","2.833,2","2.809,8","3.000,0","2.776,8","8,75M","-0,62%"
"Апр. '20","2.850,8","2.652,0","2.924,0","2.493,8","16,97M","5,03%"
"Март '20","2.714,4","2.749,8","2.784,8","2.241,2","23,69M","2,05%"
"Февр. '20","2.659,8","2.856,8","3.143,0","2.538,4","17,12M","-7,43%"
"Янв. '20","2.873,4","2.712,8","2.913,0","2.636,2","9,18M","6,54%"
"Дек. '19","2.697,0","2.695,0","2.750,0","2.536,0","7,34M","0,15%"
"Нояб. '19","2.693,0","2.141,8","2.696,8","1.962,4","15,14M","26,68%"
"Окт. '19","2.125,8","2.271,4","2.330,0","1.852,4","29,11M","-6,08%"
"Сент. '19","2.263,4","2.470,0","2.520,0","2.254,0","5,12M","-8,10%"
"Авг. '19","2.462,8","2.488,6","2.567,2","2.351,0","5,27M","-1,09%"
"Июль '19","2.490,0","2.420,0","2.679,0","2.390,0","8,32M","3,52%"
"Июнь '19","2.405,4","2.330,2","2.531,6","2.283,8","3,48M","2,94%"
"Май '19","2.336,6","2.445,2","2.481,8","2.222,0","3,74M","-2,28%"
"Апр. '19","2.391,0","2.289,4","2.518,0","2.110,8","3,31M","4,25%"
"Март '19","2.293,6","2.235,6","2.404,0","2.210,0","3,19M","3,88%"
"Февр. '19","2.208,0","2.200,2","2.335,0","2.090,4","5,90M","-0,18%"
"Янв. '19","2.212,0","1.918,5","2.214,5","1.857,0","3,47M","14,61%"
"Дек. '18","1.930,0","1.975,0","2.019,5","1.781,5","3,70M","-1,78%"
"Нояб. '18","1.965,0","1.965,5","2.041,5","1.851,0","5,86M","2,53%"
"Окт. '18","1.916,5","2.168,0","2.356,5","1.687,5","14,36M","-11,29%"
"Сент. '18","2.160,5","2.159,0","2.233,0","2.035,0","1,96M","0,49%"
"Авг. '18","2.150,0","2.257,0","2.295,0","2.061,5","2,51M","-4,44%"
"Июль '18","2.250,0","2.238,5","2.499,5","2.210,0","2,14M","0,27%"
